FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TYPE,TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2019,2021,2024
A,Annual,AUT,Austria,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.277267406071146,5.494553033505451,5.723936565703938
A,Annual,AUT,Austria,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,37.142363935472986,50.93826771306178,53.53794774464463
A,Annual,AZE,Azerbaijan,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,111.0,108.0,107.0
A,Annual,AZE,Azerbaijan,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.0413826454440764,1.0865140904593271,1.095879318027742
A,Annual,AZE,Azerbaijan,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,0.4690033150328653,0.980493025205708,1.086632270981075
A,Annual,BEL,Belgium,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,47.0,41.0,42.0
A,Annual,BEL,Belgium,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.735310177335813,2.151342608515224,2.0941763316767354
A,Annual,BEL,Belgium,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,8.333515343139215,13.04854956317254,12.400665092336334
A,Annual,BEN,Benin,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,118.0,119.0,119.0
A,Annual,BEN,Benin,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.0106358063317833,1.0205184559189715,1.0236947285454174
A,Annual,BEN,Benin,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,0.1205391384268768,0.2325425004150115,0.268540256848063
A,Annual,BGD,Bangladesh,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,95.0,102.0,102.0
A,Annual,BGD,Bangladesh,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.105539816704072,1.128869746266044,1.1277758898011427
A,Annual,BGD,Bangladesh,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.196117922646149,1.460523791015165,1.448126751079618
A,Annual,BGR,Bulgaria,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,48.0,47.0,48.0
A,Annual,BGR,Bulgaria,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.7327796410675145,1.930156494167482,1.8902644060150613
A,Annual,BGR,Bulgaria,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,8.304835932098499,10.541773600564795,10.089663268170696
A,Annual,BHR,Bahrain,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,89.0,86.0,90.0
A,Annual,BHR,Bahrain,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.1264170787618928,1.2163532023174866,1.195104345078756
A,Annual,BHR,Bahrain,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.4327268926347858,2.4520029595981816,2.211182577559234
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,98.0,91.0,88.0
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.0924907526136036,1.195185912046986,1.2173228582483775
A,Annual,BIH,Bosnia and Herzegovina,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.04822852962084,2.2121070031991747,2.462992393481611
A,Annual,BOL,Bolivia,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,76.0,79.0,72.0
A,Annual,BOL,Bolivia,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.252875664226949,1.3841348295374427,1.4578757463950052
A,Annual,BOL,Bolivia,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.865924194572087,4.353528068091019,5.189258459143392
A,Annual,BRA,Brazil,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,20.0,19.0,25.0
A,Annual,BRA,Brazil,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.691412556473475,3.145534517111673,2.953361528059581
A,Annual,BRA,Brazil,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,19.169342306699384,24.316057860598963,22.13809731800859
A,Annual,BRB,Barbados,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,63.0,68.0,69.0
A,Annual,BRB,Barbados,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.4300760013579463,1.5393776170586857,1.4829032855768145
A,Annual,BRB,Barbados,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,4.874194682056727,6.112946326665103,5.472903903203896
A,Annual,BWA,Botswana,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,85.0,92.0,96.0
A,Annual,BWA,Botswana,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.199238819462308,1.1874358442904682,1.175834193197436
A,Annual,BWA,Botswana,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.258039953906159,2.12427290195864,1.9927875229042744
A,Annual,CAN,Canada,WEF_TTDI_NATOURDEM,"Natural tourism Digital Demand, 0-100 (best)",IX_0T100,Score 0-100,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,9.0,10.0,10.0
