"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.91489715124167","5.00152805064397","5.93667600527357","6.75927174645988","9.49538738257678","10.8244974883694","9.82523301678006","10.8413413290045","11.8959884930875","5.8568275341611","4.99210619976997","4.39818480925157","4.56740537730946","3.99301255607588","8.39226411408479","12.5869547646631","4.24549195907641","10.2460963358125","15.1239530078159","15.4956752115107","16.7305976208938","15.863355718011","17.1236751303567","17.3597810811181","17.8122814334043","18.8513550991843","","","","","",
"Africa Eastern and Southern","AFE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.20903158269153","5.79195805379886","6.27226448374074","7.1434561789867","7.76053600068796","7.52351635599924","6.94072473633835","6.69036925582518","7.12237826130866","6.43658000932337","6.48036363467665","6.59754450169725","6.00127832443753","5.39390086773466","5.41894054751792","5.89488735411889","5.16231934793963","4.45255157929445","4.02607977466374","4.18351741491607","4.9009525588798","5.09044365325927","5.12575720528395","4.76433204818288","5.23333640841494","","","","","","",
"Afghanistan","AFG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01833894909722","1.72112836697912","1.83667067700926","3.53808215690225","1.12575275556025","1.37250239634978","1.69766312411754","1.7843923018448","1.21460632498981","1.63389324656947","2.82937174604224","2.27925799913782","0.701718914339217","","","","","",
"Africa Western and Central","AFW","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.448890955071","11.8916135896727","14.3055007306559","13.015388212239","6.14729140864186","6.1305252553981","6.19144602315823","6.25932119404965","8.24379027859383","","4.53388856194165","8.30224698471468","10.1708104231287","11.5053539571879","9.47211452842378","8.68614699981771","8.05724375615794","7.86353348539263","7.88131152711506","7.64297579278333","8.69073739191346","7.04654301967427","9.69278374200407","11.2634266726215","11.7447309622194","","","","","","",
"Angola","AGO","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.21107747846873","2.46429516341749","2.40272796121805","2.03625812117008","2.48963819595907","2.54400607773507","1.19450943737112","0.734243795836534","0.556738775052417","0.808687735251078","0.891429156256578","2.41269816562604","1.79815707274069","1.03660512923927","0.645479784351919","0.776370722604321","0.735791047875332","0.628160033280797","0.639765830697099","0.943256700156265","1.02452634658014","3.20769786123003","4.30342893395541","2.94352197094216","3.215343435747","4.56235480401659","","","","","",
"Albania","ALB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27218368811289","2.24941515206046","1.89556183359154","2.80805656957598","3.69900655252589","21.4767088795083","16.8641464484985","21.1216354493272","22.3749004761122","23.1268088369536","23.0834119188353","24.281157029946","24.9057976767104","24.4326591033008","28.0659043814401","25.1179546070202","24.9960686245511","23.4778135287766","26.077673872918","27.0707081546519","25.8566641402659","24.5892114234727","24.0589869528205","25.5314674703335","26.7405364956152","14.1943123522603","","","","","",
"Andorra","AND","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20230138613726","","","","","","",
"Arab World","ARB","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4593227335632","10.1453959691302","9.63204289081247","7.60474326825454","7.77042650437728","9.59756133465867","7.23153554218802","8.63543890053869","8.57246365882042","8.07478055062417","7.83153289522389","7.93505813856761","8.72130399937547","9.8009436323044","10.553791375449","10.4809288324595","9.81668117678915","10.4619770796551","","","","","","",
"United Arab Emirates","ARE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4137966808446","14.7258372485796","13.2572371267762","13.6142731168038","15.8890915730279","16.5110296556328","17.713390820939","20.5740026782193","16.0057592962379","11.5297638986128","10.2135270895557","9.80808614069035","9.48055476149587","8.77310158457467","11.6901654929959","9.37488699684106","8.59777278845781","10.1526534471861","9.32539540339701","9.68288399543666","12.2000260949546","16.2728419653326","15.8771787647257","15.0699719483025","14.78807039331","5.24618156983027","","","","","",
"Armenia","ARM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60159997434015","2.86780084064597","4.60776161676692","5.49615347418194","5.64556729384852","5.67979396910915","5.44660204856831","7.04207833917003","6.34124310864211","11.2904084589597","11.376606462776","11.1858436806996","11.0959293120137","9.74144973987652","12.6350665494151","14.127771550521","15.3726279358666","17.032460443743","18.3858618095078","20.0646823330097","23.918389871403","23.107765592608","21.542413329103","19.9857190359168","20.349371369331","6.52214588654734","","","","","",
"American Samoa","ASM","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6212776948938","11.1320531540478","10.9356956409107","10.9191971279902","9.79781328811019","10.0723687310552","4.65032653301158","","","","","",
"Australia","AUS","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0831294374687","10.6312644067292","10.7314775844639","10.4357250387408","10.3624643864898","10.2698524856961","10.2972303701869","9.68426375613983","9.61612265394962","10.964234457631","10.6086965040116","10.0016895535605","10.5321704458337","10.2058140150843","10.8757361731553","10.7019641779462","10.7045146246188","10.3137598772983","10.9175180715164","11.5201561340206","12.5102924071011","13.5424390534209","13.5307434401642","13.4154348996505","13.7298469365232","2.96305400136682","","","","","",
"Austria","AUT","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.43995447611491","","","","","","","","","","6.00719901882124","6.03972452675252","6.04322611224349","5.91314424857213","6.00243423524769","2.641236872473","","","","","",
"Azerbaijan","AZE","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7899937290273","6.46621403168445","9.18558595947491","7.46491489997014","7.76645184695607","6.8198193835081","5.58704069478372","3.53790804140768","2.52565220758841","2.2579268554272","2.76046653646466","3.24360129956913","4.1135988126923","4.06390925076753","4.98624440260858","8.3623214116849","11.3194968082584","15.0462232973376","15.5544268221932","16.0405933001135","14.8700456672493","15.6894958613433","16.386956193334","13.7901136634375","10.2789689798597","2.80834996567443","","","","","",
"Burundi","BDI","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4970299781383","19.1954763856734","28.1922755229195","24.2978526411938","25.4103928724218","13.6627539858496","5.76851295488024","6.40253891441921","","","","","","","","","","","","","","",
"Belgium","BEL","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11456705689674","6.44852274093303","6.20221670893693","6.06452731446082","5.99553775131742","5.40668251067279","","6.3322301845052","5.73509948148274","5.25851575638472","5.41959670535997","5.74233264328993","6.07103125213551","4.48946224182483","4.43837145394551","4.31947298125169","4.58860659311642","4.74179105046664","3.38070337617655","","","","","",
"Benin","BEN","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.36495077729981","6.85779751373925","4.53806709606721","4.18841528651494","7.40481988818893","7.04721578597675","6.43800108558272","5.4939341728516","4.92987711032371","5.2157209696071","5.06527669775788","5.07433467367072","5.08286285299704","4.23333834842352","3.92392759049393","3.97014761760759","3.5106768558946","3.71072054074546","1.17712055978171","1.30145058337234","4.03630650804447","2.34140811248444","3.6835662745152","1.62787407312044","3.01862169950501","","","","","","",
"Burkina Faso","BFA","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30761387809169","5.7858562534372","5.45862897239617","4.65680990114074","5.69338901283406","4.29819604800537","3.66873643063669","3.76806726270239","4.5208037842382","4.06484429903783","4.24147823196998","4.32598852046668","3.93140018409549","3.69658718995878","3.68692808492164","","","","","","",
"Bangladesh","BGD","International tourism, expenditures (% of total imports)","ST.INT.XPND.MP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.36883783286186","4.00795318812818","3.69680526283336","4.19827606823103","4.86915582764507","3.53187951400229","3.3882085517752","3.51402789132101","3.40725879698209","2.52239668635983","2.8658536856337","2.71054391970889","2.920408020939","2.8215096679514","2.83331213125475","2.16219849367654","2.35503215284381","3.14662114582846","1.73098368046026","1.81456130186139","1.7501253552406","1.98538101281744","1.84035397743223","2.16241811992912","1.16069439507613","","","","","",
