Data Source,World Development Indicators,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes
Aruba,ABW,NA,5.8568275341611,4.99210619976997,4.39818480925157,4.56740537730946,3.99301255607588,8.39226411408479,12.5869547646631,4.24549195907641,10.2460963358125,15.1239530078159,15.4956752115107,16.7305976208938,15.863355718011,17.1236751303567,17.3597810811181,
Angola,AGO,AF,0.808687735251078,0.891429156256578,2.41269816562604,1.79815707274069,1.03660512923927,0.645479784351919,0.776370722604321,0.735791047875332,0.628160033280797,0.639765830697099,0.943256700156265,1.02452634658014,3.20769786123003,4.30342893395541,2.94352197094216,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Albania,ALB,EU,23.1268088369536,23.0834119188353,24.281157029946,24.9057976767104,24.4326591033008,28.0659043814401,25.1179546070202,24.9960686245511,23.4778135287766,26.077673872918,27.0707081546519,25.8566641402659,24.5892114234727,24.0589869528205,25.5314674703335,
Argentina,ARG,SA,11.5297638986128,10.2135270895557,9.80808614069035,9.48055476149587,8.77310158457467,11.6901654929959,9.37488699684106,8.59777278845781,10.1526534471861,9.32539540339701,9.68288399543666,12.2000260949546,16.2728419653326,15.8771787647257,15.0699719483025,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Armenia,ARM,AS,11.2904084589597,11.376606462776,11.1858436806996,11.0959293120137,9.74144973987652,12.6350665494151,14.127771550521,15.3726279358666,17.032460443743,18.3858618095078,20.0646823330097,23.918389871403,23.107765592608,21.542413329103,19.9857190359168,
Australia,AUS,OC,10.964234457631,10.6086965040116,10.0016895535605,10.5321704458337,10.2058140150843,10.8757361731553,10.7019641779462,10.7045146246188,10.3137598772983,10.9175180715164,11.5201561340206,12.5102924071011,13.5424390534209,13.5307434401642,13.4154348996505,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Austria,AUT,EU,,7.43995447611491,,,,,,,,,,6.00719901882124,6.03972452675252,6.04322611224349,5.91314424857213,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Azerbaijan,AZE,AS,2.2579268554272,2.76046653646466,3.24360129956913,4.1135988126923,4.06390925076753,4.98624440260858,8.3623214116849,11.3194968082584,15.0462232973376,15.5544268221932,16.0405933001135,14.8700456672493,15.6894958613433,16.386956193334,13.7901136634375,
Belgium,BEL,EU,6.20221670893693,6.06452731446082,5.99553775131742,5.40668251067279,,6.3322301845052,5.73509948148274,5.25851575638472,5.41959670535997,5.74233264328993,6.07103125213551,4.48946224182483,4.43837145394551,4.31947298125169,4.58860659311642,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Benin,BEN,AF,5.2157209696071,5.06527669775788,5.07433467367072,5.08286285299704,4.23333834842352,3.92392759049393,3.97014761760759,3.5106768558946,3.71072054074546,1.17712055978171,1.30145058337234,4.03630650804447,2.34140811248444,3.6835662745152,1.62787407312044,
Burkina Faso,BFA,AF,,5.30761387809169,5.7858562534372,5.45862897239617,4.65680990114074,5.69338901283406,4.29819604800537,3.66873643063669,3.76806726270239,4.5208037842382,4.06484429903783,4.24147823196998,4.32598852046668,3.93140018409549,3.69658718995878,
Bangladesh,BGD,AS,3.40725879698209,2.52239668635983,2.8658536856337,2.71054391970889,2.920408020939,2.8215096679514,2.83331213125475,2.16219849367654,2.35503215284381,3.14662114582846,1.73098368046026,1.81456130186139,1.7501253552406,1.98538101281744,1.84035397743223,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Bulgaria,BGR,EU,11.4916711094596,9.01582061019393,8.00073545048775,6.07776474131864,6.33607338373054,7.1907496254694,3.62035642873189,3.13930480493783,3.17217837483166,3.690286516925,3.92542394040458,4.21634947460088,5.15319412989451,5.50160855531038,5.37764364913927,
Bahrain,BHR,AS,6.46232758711945,5.57987538457565,5.52813952418209,5.3142917324908,4.32529943299728,5.2580637605116,5.22317675013711,6.47493535102002,3.78652509373355,3.53318438691024,2.85510498477321,22.1461332061297,15.4921996191245,13.31262603193,9.32393341396028,
"Bahamas, The",BHS,NA,14.9452538462519,14.4111052383098,12.3590192284408,11.8593310589315,9.99577792458198,10.3433787370145,9.78106063276836,8.14922618752661,7.79992224452512,7.55077163880112,6.46679718493207,8.19963855548934,9.84966144163229,11.2568075863373,10.1440426851153,
Bosnia and Herzegovina,BIH,EU,2.28536641991591,2.00258552313116,2.57791374755389,2.94984934655581,3.02680529672354,3.30440051764121,2.8087144334853,2.05459759650027,2.04127426750464,2.00852323313797,1.95133551132928,3.18783965975154,3.23639334317368,3.33563417370369,3.27104080293235,
Belarus,BLR,EU,3.03567525560386,3.00092470354237,2.92696887439618,2.43908190800888,2.10317285635329,2.51180749934867,2.03145496172011,1.52611669245085,1.93172926447574,2.87209585431385,2.98495881989151,3.04690770956277,2.97074268567142,2.96476532594608,2.8302776816881,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
Belize,BLZ,NA,7.67791803151743,6.40108220997539,5.73308734567358,5.7294173009729,4.59379138215098,5.49690095698887,4.8171073989482,3.89777986492111,3.80468704408131,3.87561796706111,4.43430811203548,4.22789220693259,4.85946954503044,4.87183260421219,4.32865446033627,
Bermuda,BMU,NA,,,20.1405750798722,19.8599866269083,20.8569714712981,19.8679615949954,20.8358951925493,18.1388873184872,18.1771563633717,16.8854338072746,19.3193714359994,19.8577343043418,19.3869296551245,18.0496791000127,15.2017768765209,
Bolivia,BOL,SA,9.95300658326634,8.97175787695804,10.4139683913561,9.29905623512297,6.59384591573656,7.52551985243775,6.8393145928309,4.67124673989568,5.06103933199244,5.96708153140157,7.37696710824898,7.1301695231312,8.89819816355349,8.4764424845446,8.14273304652224,
Brazil,BRA,SA,4.58585121290992,5.93453779003952,6.14902509012639,6.51526439742359,5.91786465583505,7.31106198961992,7.53430873272061,7.97229384733788,8.34076963529072,8.77548737220184,9.16639125306454,8.08375628578538,8.1496488281825,9.76315724124417,8.27766376051682,
Brunei Darussalam,BRN,AS,15.8290426904886,14.8299091150939,14.5616350647183,12.9963350214828,10.774184535387,12.8342476130075,,,8.74839524427551,8.0299103964361,10.5213471618864,9.42544679809781,11.5967151814285,11.6652894638074,10.2962198251364,
Botswana,BWA,AF,7.74975347440448,8.21586511796809,8.32263483444142,5.96657384937127,4.00528208386597,4.27145098948211,4.49961896623278,3.82716352097015,3.74403643318378,2.85264585129315,3.07577996593038,3.16827161971355,3.42833589750069,4.03238616169336,3.7800216981862,
Canada,CAN,NA,5.71925520601101,5.90536053070774,6.06690040020077,6.60258110944785,6.66757986949726,7.32840564644529,7.44257363063498,7.25592432657076,,,,,,,,Fiscal year end: March 31
Switzerland,CHE,EU,5.82500175588612,5.47211256192296,5.31399044708726,5.03178825621193,4.56250402513126,4.74826020279821,4.27227238645839,4.09625232301355,4.62859174369954,4.53197200831235,5.1545118465523,5.24153407208953,5.0280710491594,5.30135051491632,5.09245968432682,
Chile,CHL,SA,4.25095661321369,2.89351080804158,2.73514763307883,2.58756422608557,1.96798891767853,2.99297413281847,2.5426801598374,2.41049318660301,2.64220318666466,2.75457548740044,3.22282007740762,3.46484764593387,3.90999796387354,4.05810190554865,3.59093985531259,
China,CHN,AS,3.85837919915505,,,,,,,,,,,,,,,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Cote d'Ivoire,CIV,AF,,7.44798769356133,7.66946626744505,7.05293465053936,6.27055755543068,6.05637553102192,5.27539658019634,6.11813577266398,4.67175742620034,4.83012319386609,5.13405416063311,4.93351129502644,4.58036778178687,4.75992847176849,4.7409257889564,
Cameroon,CMR,AF,9.91993174077796,11.0387897334001,11.1860304593158,7.7750929103523,6.97087681124599,7.60575912731534,4.15512448656358,7.56243674648387,8.18688510948097,8.98782250503614,8.5744931025643,9.52573351652691,11.5593754655358,11.6211888962897,10.863748398997,
Colombia,COL,SA,7.67076307670414,7.62755605350582,7.04566480003788,6.48444819929603,6.09599676113846,7.07503841790778,6.58350914138186,5.74071255292757,6.31720340706607,6.39400333112529,6.81466643542655,7.40786560651078,8.69975634076867,8.8424961849426,8.60451441043297,
Cabo Verde,CPV,AF,14.724304431966,12.7736242220185,13.1909900219335,11.908687495029,12.0950925057564,13.5078664067859,12.393434203766,10.3336680199921,11.2673391768798,10.9616228884927,9.31209676024566,12.0358673585534,7.89620069524184,8.47759460588631,8.42098102111764,
