País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,CHL,SA,1571000000.0,1608000000.0,1853000000.0,2224000000.0,2481000000.0,2380000000.0,2362000000.0,2723000000.0,3158000000.0,3171000000.0,3202000000.0,3412000000.0,3744000000.0,4115000000.0,3911000000.0
Cote d'Ivoire,CIV,AF,91000000.0,93000000.0,104000000.0,115000000.0,129000000.0,164000000.0,213000000.0,186000000.0,172500000.0,191000000.0,195000000.0,214000000.0,477000000.0,509000000.0,551000000.0
Cameroon,CMR,AF,212000000.0,229000000.0,231000000.0,254000000.0,167000000.0,271000000.0,171000000.0,423000000.0,377000000.0,607000000.0,629000000.0,476000000.0,508000000.0,544000000.0,633000000.0
"Congo, Dem. Rep.",COD,AF,,3200000.0,3100000.0,700000.0,700000.0,24000000.0,10700000.0,11400000.0,6900000.0,8400000.0,45400000.0,100000.0,4300000.0,6000000.0,60500000.0
"Congo, Rep.",COG,AF,23100000.3814697,,,31399999.6185303,37000000.0,85000000.0,39000000.0,47000000.0,68000000.0,52400001.5258789,56900001.5258789,46900001.5258789,42900001.5258789,,
Colombia,COL,SA,1535000000.0,1891000000.0,2370000000.0,2616000000.0,2966000000.0,3080000000.0,3473000000.0,3841000000.0,4409000000.0,4819000000.0,4941000000.0,5281000000.0,5631000000.0,5899000000.0,6655000000.0
Comoros,COM,AF,21399999.6185303,24399999.6185303,27399999.6185303,30399999.6185303,37400001.5258789,32299999.2370605,35200000.7629395,42200000.7629395,39299999.2370605,,62799999.2370605,51599998.4741211,50500000.0,60599998.4741211,73699996.9482422
Cabo Verde,CPV,AF,153000000.0,177000000.0,280000000.0,375000000.0,432000000.0,349000000.0,387000000.0,438000000.0,452000000.0,483000000.0,453000000.0,380000000.0,397000000.0,451000000.0,520000000.0
Costa Rica,CRI,SA,1755000000.0,2008000000.0,2066000000.0,2454000000.0,2811000000.0,2216000000.0,2426000000.0,2646000000.0,2773000000.0,3171000000.0,3137000000.0,3408000000.0,3776000000.0,3758000000.0,4073000000.0
Cuba,CUB,SA,2114000000.0,2591000000.0,2414000000.0,2415000000.0,2535000000.0,2249000000.0,2396000000.0,2503000000.0,2614000000.0,2608000000.0,2546000000.0,2819000000.0,3069000000.0,3302000000.0,2783000000.0
Curacao,CUW,SA,224000000.0,244000000.0,277000000.0,329000000.0,383000000.0,378000000.0,438000000.0,540000000.0,676000000.0,778000000.0,820000000.0,712000000.0,644000000.0,572000000.0,604000000.0
Cayman Islands,CYM,SA,523000000.0,356000000.0,509000000.0,481000000.0,518000000.0,458000000.0,465000000.0,472000000.0,489000000.0,500000000.0,565000000.0,680000000.0,708000000.0,832000000.0,911000000.0
Cyprus,CYP,EU,2552000000.0,2644000000.0,2692007568.35938,3107000000.0,3232000000.0,2476000000.0,2137000000.0,2603000000.0,2603000000.0,2930000000.0,2924000000.0,2525664306.64063,2870000000.0,3274000000.0,3449000000.0
Czechia,CZE,EU,4931000000.0,5772000000.0,6702000000.0,7803000000.0,9228000000.0,8164000000.0,8068000000.0,8930000000.0,8174000000.0,7792000000.0,7614000000.0,6766000000.0,7041000000.0,7695000000.0,8283000000.0
Germany,DEU,EU,36417000000.0,40518000000.0,45560000000.0,49320000000.0,53402000000.0,47499000000.0,49116000000.0,53465000000.0,51626000000.0,55486000000.0,58721000000.0,50669000000.0,52234000000.0,55750000000.0,59446000000.0
Djibouti,DJI,AF,6800000.0,7100000.0,9800000.0,6800000.0,7800000.0,16000000.0,18000000.0,19200000.0,20500000.0,21600000.0,24700000.0,30900000.0,33500000.0,36200000.0,57000000.0
Dominica,DMA,SA,61000000.0,57000000.0,72000000.0,74000000.0,76000000.0,77000000.0,94000000.0,106000000.0,76000000.0,82000000.0,216000000.0,202000000.0,198000000.0,161000000.0,111000000.0
Denmark,DNK,EU,5652000000.0,5293000000.0,5562000000.0,5978000000.0,6281000000.0,5617000000.0,5704000000.0,6366000000.0,6135000000.0,6490000000.0,7617000000.0,6685000000.0,7494000000.0,8508000000.0,9097000000.0
Dominican Republic,DOM,SA,3152000000.0,3518000000.0,3917000000.0,4064000000.0,4166000000.0,4049000000.0,4162000000.0,4391000000.0,4687000000.0,5055000000.0,5630000000.0,6116000000.0,6720000000.0,7184000000.0,7561000000.0
Algeria,DZA,AF,,477000000.0,393000000.0,334000000.0,473000000.0,361000000.0,324000000.0,300000000.0,295000000.0,326000000.0,316000000.0,347000000.0,246000000.0,171000000.0,196500000.0
Ecuador,ECU,SA,464000000.0,488000000.0,492000000.0,626000000.0,745000000.0,674000000.0,786000000.0,849000000.0,1039000000.0,1251000000.0,1487000000.0,1557000000.0,1729000000.0,2018000000.0,2279000000.0
"Egypt, Arab Rep.",EGY,AF,6328000000.0,7206000000.0,8133000000.0,10327000000.0,12104000000.0,11757000000.0,13633000000.0,9333000000.0,10823000000.0,6747000000.0,7979000000.0,6897000000.0,3306000000.0,8636000000.0,12704000000.0
Eritrea,ERI,AF,73000000.0,66000000.0,60000000.0,61000000.0,46000000.0,26000000.0,,,,,,,48000000.0,,
