Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes,
Brazil,BRA,SA,3222000000,3861000000,4316000000,4953000000,5785000000,5305000000,5261000000,6095000000,6378000000,6474000000,6843000000,5844000000,6024000000,5809000000,5921000000,,
Brunei Darussalam,BRN,AS,181000000,191000000,224000000,233000000,242000000,254000000,,,92000000,96000000,79000000,147000000,144000000,177000000,190000000,,
Botswana,BWA,AF,581000000,562000000,538000000,546000000,510000000,663000000,438000000,465000000,513000000,481000000,528000000,533000000,503000000,542000000,582000000,,
Canada,CAN,NA,13029000000,13655000000,14556000000,15605000000,15667000000,13743000000,15830000000,16839000000,20156000000,20886000000,21580000000,20315000000,22676000000,25083000000,26893000000,Fiscal year end: March 31, reporting period for national accounts data: CY.
Switzerland,CHE,EU,9288000000,9891000000,10784000000,12223000000,14698000000,14340000000,14811000000,17148000000,15991000000,16674000000,17768000000,16929000000,16752000000,17251000000,17994000000,,
Chile,CHL,SA,1095000000,1001000000,1149000000,1453000000,1594000000,1613000000,1552000000,1813000000,2150000000,2181000000,2259000000,2481000000,2665000000,3131000000,2871000000,,
China,CHN,AS,25739000000,29296000000,33949000000,37233000000,40843000000,39675000000,45814000000,48464000000,50028000000,51664000000,44044000000,44969000000,44432000000,38559000000,40386000000,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Cote d'Ivoire,CIV,AF,82000000,83000000,93000000,103000000,116000000,151000000,201000000,180000000,172000000,181000000,184000000,158000000,379000000,397000000,443000000,,
Cameroon,CMR,AF,158000000,175000000,181000000,226000000,156000000,270000000,159000000,409000000,349000000,576000000,595000000,450000000,505000000,525000000,581000000,,
Colombia,COL,SA,1227000000,1539000000,1915000000,1993000000,2342000000,2440000000,2797000000,3010000000,3460000000,3611000000,3825000000,4245000000,4522000000,4921000000,5621000000,,
Cabo Verde,CPV,AF,99000000,122000000,209000000,304000000,352000000,286000000,278000000,368000000,394000000,422000000,405000000,347000000,365000000,426000000,488000000,,
Costa Rica,CRI,NA,1628000000,1869000000,1908000000,2259000000,2561000000,2030000000,2246000000,2423000000,2529000000,2928000000,2996000000,3266000000,3648000000,3656000000,3769000000,,
Cyprus,CYP,EU,2241000000,2318000000,2382000000,2685000000,2780000000,2199000000,2137000000,2603000000,2603000000,2930000000,2924000000,2524000000,2870000000,3274000000,3449000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
Czechia,CZE,EU,4187000000,4813000000,5884000000,6943000000,8214000000,7241000000,7172000000,8096000000,7456000000,7042000000,6822000000,6056000000,6308000000,6970000000,7446000000,,
Germany,DEU,EU,27634000000,29111000000,32903000000,36094000000,39921000000,34752000000,34557000000,38928000000,38054000000,41283000000,43277000000,36895000000,37476000000,40011000000,42895000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries. GDP data before 1991 are calculated by applying backward GDP growth rates of the former Federal Republic of Germany starting from the first official GDP value for the unified Germany (1991).",
Djibouti,DJI,AF,680000019073486,709999990463257,980000019073486,680000019073486,780000019073486,16000000,18000000,192000007629395,20500000,216000003814697,247000007629395,399000015258789,385999984741211,362000007629395,57000000,,
Dominica,DMA,NA,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,197000000,161000000,88000000,,
Denmark,DNK,EU,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9107000000,,
Dominican Republic,DOM,NA,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7548000000,,
Algeria,DZA,AF,178000000,184000000,220000000,219000000,323000000,246000000,220000000,209000000,217000000,250000000,258000000,311000000,209000000,141000000,168500000,,
Ecuador,ECU,SA,462000000,486000000,490000000,623000000,742000000,670000000,781000000,843000000,1033000000,1246000000,1482000000,1551000000,1723000000,2012000000,2272000000,,
"Egypt, Arab Rep.",EGY,AF,6125000000,6851000000,7591000000,9303000000,10985000000,10755000000,12528000000,8707000000,9940000000,6047000000,7208000000,6065000000,2645000000,7775000000,11615000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017.",
Spain,ESP,EU,48746000000,51959000000,56181000000,63491000000,68875000000,59795000000,58348000000,67809000000,62936000000,68414000000,71656000000,62449000000,66982000000,75906000000,81420000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Estonia,EST,EU,887000000,971000000,1024000000,1036000000,1193000000,1090000000,1065000000,1256000000,1286000000,1626000000,1864000000,1493000000,1537000000,1659000000,1779000000,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
Ethiopia,ETH,AF,174000000,168000000,162000000,176000000,377000000,329000000,522000000,758000000,607000000,586000000,352000000,405000000,347000000,436000000,968000000,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated by using an inflation-adjustment method. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2015-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
Finland,FIN,EU,2068000000,2180000000,2380000000,2837000000,3234000000,2745000000,3026000000,3847000000,3877000000,4041000000,3657000000,2574000000,2649000000,3400000000,3665000000,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
Fiji,FJI,OC,423000000,485000000,480000000,499000000,658000000,503000000,635000000,724000000,730000000,717000000,809000000,817000000,878000000,942000000,969000000,,
France,FRA,EU,44906000000,43937000000,46527000000,54200000000,57262000000,49616000000,46459000000,55154000000,53327000000,56451000000,58422000000,58326000000,55338000000,59232000000,65362000000,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",
United Kingdom,GBR,EU,30758000000,32780000000,38352000000,43045000000,39326000000,33480000000,35168000000,39067000000,41189000000,46582000000,52659000000,51947000000,48757000000,48188000000,49940000000,,
Georgia,GEO,AS,177000000,241000000,313000000,384000000,447000000,476000000,659000000,955000000,1411000000,1720000000,1787000000,1868000000,2111000000,2704000000,3222000000,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",
Ghana,GHA,AF,466000000,836000000,861000000,908000000,919000000,768000000,620000000,694000000,914000000,853000000,897000000,819000000,846000000,850000000,944000000,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",
"Gambia, The",GMB,AF,47000000,58000000,66000000,85000000,80000000,63000000,74000000,78000000,94000000,71000000,105000000,84000000,84000000,122000000,160000000,,
Guinea-Bissau,GNB,AF,1000000,160000002384186,279999995231628,283999996185303,382000007629395,12000000,133000001907349,141000003814697,659999990463257,173999996185303,207999992370605,172999992370605,11500000,162999992370605,197999992370605,,
