País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,CHN,AS,109038000.0,120292000.0,124942000.0,131873000.0,130027000.0,126476000.0,133762000.0,135423000.0,132405000.0,129078000.0,128499000.0,133820000.0,141774000.0,153260000.0,158606000.0
Cote d'Ivoire,CIV,AF,,,,182000.0,205000.0,231000.0,252000.0,270000.0,289000.0,380000.0,471000.0,1441000.0,1583000.0,1800000.0,1965000.0
Cameroon,CMR,AF,,,451000.0,477000.0,487000.0,498000.0,573000.0,604000.0,817000.0,783000.0,822000.0,897000.0,994000.0,1081000.0,997000.0
"Congo, Dem. Rep.",COD,AF,36000.0,61000.0,55000.0,47000.0,50000.0,53000.0,81000.0,186000.0,167000.0,191000.0,334000.0,354000.0,351000.0,,
"Congo, Rep.",COG,AF,,,,,,,199000.0,224000.0,259000.0,345000.0,229000.0,224000.0,213000.0,151000.0,158000.0
Colombia,COL,SA,840000.0,981000.0,2096000.0,2381000.0,2545000.0,2649000.0,1701000.0,2356000.0,2434000.0,2595000.0,2866000.0,3371000.0,3675000.0,4056000.0,4397000.0
Comoros,COM,AF,23299.9992370605,25899.9996185303,28500.0,15199.9998092651,14800.0001907349,11300.0001907349,15300.0001907349,18799.9992370605,22799.9992370605,21899.9996185303,22799.9992370605,23600.0003814697,26799.9992370605,28000.0,35900.0015258789
Cabo Verde,CPV,AF,157000.0,198000.0,242000.0,267000.0,285000.0,287000.0,336000.0,428000.0,482000.0,503000.0,494000.0,520000.0,598000.0,668000.0,710000.0
Costa Rica,CRI,SA,1771000.0,1959000.0,2071000.0,2302000.0,2409000.0,2309000.0,2495000.0,2526000.0,2542000.0,2641000.0,2760000.0,2899000.0,3204000.0,3231000.0,3313000.0
Cuba,CUB,SA,2049000.0,2319000.0,2221000.0,2152000.0,2348000.0,2430000.0,2532000.0,2716000.0,2847000.0,2862000.0,3014000.0,3540000.0,4009000.0,4654000.0,4712000.0
Curacao,CUW,SA,452000.0,510000.0,572000.0,664000.0,773000.0,808000.0,762000.0,837000.0,908000.0,1071000.0,1129000.0,1072000.0,944000.0,1058000.0,1210000.0
Cayman Islands,CYM,SA,1953000.0,1967000.0,2197000.0,2008000.0,1856000.0,1792000.0,1886000.0,1710000.0,1829000.0,1721000.0,1993000.0,2102000.0,2097000.0,2147000.0,2384000.0
Cyprus,CYP,EU,2478000.0,2657000.0,2629000.0,2671000.0,2631000.0,2370000.0,2450000.0,2626000.0,2635000.0,2626000.0,2558000.0,2780000.0,3286000.0,3750000.0,4024000.0
Czechia,CZE,EU,23808000.0,24747000.0,25102000.0,22625000.0,21850000.0,23285000.0,21941000.0,22810000.0,25750000.0,26332000.0,27166000.0,29604000.0,32519000.0,34701000.0,36268000.0
Germany,DEU,EU,20137000.0,21500000.0,23569000.0,24421000.0,24884000.0,24220000.0,26875000.0,28374000.0,30411000.0,31545000.0,32999000.0,34970000.0,35555000.0,37452000.0,38881000.0
Djibouti,DJI,AF,26299.9992370605,30200.0007629395,39500.0,40000.0,54000.0,58000.0,51000.0,56000.0,60000.0,63000.0,,,,,
Dominica,DMA,SA,466000.0,381000.0,465000.0,437000.0,468000.0,608000.0,595000.0,418000.0,348000.0,311000.0,370000.0,358000.0,356000.0,230000.0,199000.0
Denmark,DNK,EU,22054000.0,26927000.0,26936000.0,27138000.0,26870000.0,26571000.0,26730000.0,25811000.0,26402000.0,26516000.0,28070000.0,28209000.0,28692000.0,30736000.0,30801000.0
Dominican Republic,DOM,SA,3907000.0,3981000.0,4268000.0,4365000.0,4455000.0,4489000.0,4478000.0,4654000.0,4901000.0,5114000.0,5576000.0,6129000.0,6769000.0,7296000.0,7551000.0
Algeria,DZA,AF,1234000.0,1443000.0,1638000.0,1743000.0,1772000.0,1912000.0,2070000.0,2395000.0,2634000.0,2733000.0,2301000.0,1710000.0,2039000.0,2451000.0,2657000.0
Ecuador,ECU,SA,819000.0,860000.0,841000.0,937000.0,1005000.0,968000.0,1047000.0,1141000.0,1272000.0,1364000.0,1695000.0,1676000.0,1569000.0,1806000.0,2535000.0
"Egypt, Arab Rep.",EGY,AF,8104000.0,8608000.0,9083000.0,11091000.0,12835000.0,12536000.0,14731000.0,9845000.0,11532000.0,9464000.0,9878000.0,9328000.0,5399000.0,8292000.0,11346000.0
Eritrea,ERI,AF,87000.0,83000.0,78000.0,81000.0,70000.0,79000.0,84000.0,107000.0,129000.0,141000.0,119000.0,114000.0,142000.0,,
Spain,ESP,EU,85981000.0,92563000.0,96152000.0,98907000.0,97670000.0,91899000.0,93744000.0,99187000.0,98128000.0,103231000.0,107144000.0,109834000.0,115561000.0,121717000.0,124456000.0
Estonia,EST,EU,,,,,3828000.0,3834000.0,4369000.0,4907000.0,5007000.0,5737000.0,5804000.0,5696000.0,5942000.0,6145000.0,6033000.0
Ethiopia,ETH,AF,184000.0,227000.0,330000.0,358000.0,383000.0,427000.0,468000.0,523000.0,597000.0,681000.0,770000.0,864000.0,871000.0,933000.0,849000.0
Finland,FIN,EU,2840000.0,3140000.0,3375000.0,3519000.0,3583000.0,3423000.0,3670000.0,4192000.0,4226000.0,2797000.0,2731000.0,2622000.0,2789000.0,3180000.0,3224000.0
Fiji,FJI,OC,513000.0,547000.0,,542000.0,627000.0,605000.0,692000.0,734000.0,741000.0,769000.0,781000.0,869000.0,963000.0,1027000.0,1058000.0
France,FRA,EU,190282000.0,185829000.0,193882000.0,193319000.0,193571000.0,192369000.0,189826000.0,196595000.0,197522000.0,204410000.0,206599000.0,203302000.0,203042000.0,207274000.0,211998000.0
"Micronesia, Fed. Sts.",FSM,OC,19299.9992370605,19000.0,19100.0003814697,21100.0003814697,25700.0007629395,47500.0,44700.0007629395,35400.0015258789,38299.9992370605,42099.9984741211,35400.0015258789,31200.0007629395,29600.0003814697,,19200.0007629395
United Kingdom,GBR,EU,27755000.0,29970000.0,32713000.0,32778000.0,31888000.0,31072000.0,30398000.0,31886000.0,32221000.0,33567000.0,35337000.0,36792000.0,39129000.0,41080000.0,40283000.0
Georgia,GEO,AS,368000.0,560000.0,983000.0,1052000.0,1290000.0,1500000.0,2032000.0,2712000.0,4106000.0,4954000.0,5004000.0,5256000.0,5393000.0,6483000.0,7203000.0
Ghana,GHA,AF,584000.0,429000.0,497000.0,587000.0,698000.0,803000.0,931000.0,821000.0,903000.0,994000.0,825000.0,897000.0,,,
Guinea,GIN,AF,45000.0,45000.0,46099.9984741211,30000.0,24000.0,,12399.9996185303,131000.0,96000.0,56000.0,33000.0,35000.0,63000.0,99000.0,
"Gambia, The",GMB,AF,90000.0,108000.0,125000.0,143000.0,147000.0,142000.0,91000.0,106000.0,157000.0,171000.0,156000.0,449000.0,450000.0,522000.0,552000.0
Guinea-Bissau,GNB,AF,,5000.0,11600.0003814697,15600.0003814697,18000.0,16000.0,22299.9992370605,36700.0007629395,35400.0015258789,35500.0,36099.9984741211,43799.9992370605,45200.0007629395,49500.0,55000.0
Greece,GRC,EU,14268000.0,15938000.0,17284000.0,,,,,,,20112000.0,24272000.0,26114000.0,28071000.0,30161000.0,33072000.0
Grenada,GRD,SA,370000.0,380000.0,342000.0,406000.0,428000.0,460000.0,445000.0,447000.0,370000.0,327000.0,387000.0,437000.0,474000.0,468000.0,529000.0
Guatemala,GTM,SA,1182000.0,1316000.0,1502000.0,1628000.0,1715000.0,1311000.0,1384000.0,1434000.0,1491000.0,1516000.0,1739000.0,1865000.0,1906000.0,2120000.0,2406000.0
Guam,GUM,OC,1160000.0,1228000.0,1212000.0,1225000.0,1142000.0,1053000.0,1197000.0,1160000.0,1308000.0,1334000.0,1343000.0,1409000.0,1536000.0,1545000.0,1549000.0
Guyana,GUY,SA,122000.0,117000.0,113000.0,134000.0,130000.0,141000.0,152000.0,157000.0,177000.0,200000.0,206000.0,207000.0,235000.0,247000.0,287000.0
"Hong Kong SAR, China",HKG,AS,21811000.0,23359000.0,25251000.0,28169000.0,29507000.0,29591000.0,36030000.0,41921000.0,48615000.0,54299000.0,60839000.0,59308000.0,56655000.0,58472000.0,65148000.0
Honduras,HND,SA,1026000.0,1118000.0,1136000.0,1309000.0,1561000.0,1589000.0,1965000.0,1852000.0,1903000.0,1857000.0,2082000.0,2093000.0,2228000.0,2144000.0,2323000.0
Croatia,HRV,EU,44974000.0,45762000.0,47733000.0,52271000.0,51336000.0,47573000.0,49006000.0,49969000.0,47185000.0,48345000.0,51168000.0,55858000.0,57587000.0,59238000.0,57668000.0
Haiti,HTI,SA,385000.0,480000.0,558000.0,868000.0,758000.0,826000.0,793000.0,946000.0,959000.0,1064000.0,1127599.97558594,1190000.0,1153000.0,1262000.0,1333000.0
Hungary,HUN,EU,33934000.0,36173000.0,38318000.0,39379000.0,39554000.0,40624000.0,39904000.0,41304000.0,43565000.0,43611000.0,45984000.0,48345000.0,52890000.0,54962000.0,57667000.0
Indonesia,IDN,AS,5321000.0,5002000.0,4871000.0,5506000.0,6234000.0,6324000.0,7003000.0,7650000.0,8044000.0,8802000.0,9435000.0,10407000.0,11519000.0,14040000.0,15810000.0
