País,Sigla,Continente,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Portugal,PRT,EU,10639000.0,10612000.0,11282000.0,6788000.0,6962000.0,6439000.0,6756000.0,7264000.0,7503000.0,9177000.0,10497000.0,11723000.0,13359000.0,15432000.0,16186000.0
Paraguay,PRY,SA,2589000.0,2648000.0,2830000.0,3005000.0,3118000.0,3183000.0,3171000.0,3365000.0,3655000.0,3538000.0,3455000.0,4102000.0,4318000.0,4744000.0,4183000.0
West Bank and Gaza,PSE,AS,56000.0,88000.0,123000.0,264000.0,387000.0,396000.0,522000.0,449000.0,490000.0,545000.0,556000.0,432000.0,400000.0,503000.0,606000.0
French Polynesia,PYF,OC,,,,243000.0,227000.0,190000.0,179000.0,196000.0,210000.0,214000.0,228000.0,239000.0,241000.0,254000.0,264000.0
Qatar,QAT,AS,,,,,,1482000.0,1700000.0,2057000.0,2324000.0,2612000.0,2839000.0,2941000.0,2938000.0,2256000.0,1819000.0
Romania,ROU,EU,6600000.0,5839000.0,6037000.0,7722000.0,8862000.0,7575000.0,7498000.0,7611000.0,7937000.0,8019000.0,8442000.0,9331000.0,10223000.0,10926000.0,11720000.0
Russian Federation,RUS,EU,22064000.0,22201000.0,22486000.0,22909000.0,23676000.0,21339000.0,22281000.0,24932000.0,28177000.0,30792000.0,32421000.0,33729000.0,24571000.0,24390000.0,24551000.0
Rwanda,RWA,AF,,,531000.0,610000.0,669000.0,664000.0,667000.0,908000.0,1061000.0,1122000.0,1220000.0,1298000.0,1377000.0,1570000.0,1711000.0
Saudi Arabia,SAU,AS,11083000.0,10417000.0,10962000.0,13479000.0,17717000.0,13319000.0,13025000.0,15776000.0,19847000.0,19934000.0,23010000.0,21834000.0,20887000.0,18607000.0,17570000.0
Sudan,SDN,AF,61000.0,246000.0,328000.0,436000.0,440000.0,420000.0,495000.0,536000.0,575000.0,591000.0,684000.0,741000.0,800000.0,813000.0,836000.0
Senegal,SEN,AF,677000.0,779000.0,876000.0,879000.0,877000.0,815000.0,906000.0,977000.0,967000.0,1069000.0,976000.0,1014000.0,1219000.0,1376000.0,
Singapore,SGP,AS,8329000.0,8943000.0,9751000.0,10285000.0,10116000.0,9683000.0,11642000.0,13171000.0,14496000.0,15568000.0,15095000.0,15231500.0,16403000.0,17425000.0,18508000.0
Solomon Islands,SLB,OC,5599.99990463257,9399.99961853027,11500.0,13699.9998092651,16299.9992370605,18299.9992370605,20500.0,22899.9996185303,23899.9996185303,24399.9996185303,20100.0003814697,21600.0003814697,23200.0007629395,25700.0007629395,27899.9996185303
El Salvador,SLV,SA,1030000.0,1306000.0,1501000.0,1720000.0,1875000.0,1482000.0,1606000.0,1634000.0,1738000.0,1822000.0,1886000.0,1973000.0,2052000.0,2247000.0,2536000.0
San Marino,SMR,EU,2812000.0,2107000.0,2136000.0,2164000.0,2112000.0,2056000.0,1976000.0,2038000.0,1869000.0,1905000.0,2004000.0,1888000.0,2000000.0,1937000.0,1874000.0
Serbia,SRB,EU,392000.0,453000.0,469000.0,696000.0,646000.0,645000.0,683000.0,764000.0,810000.0,922000.0,1029000.0,1132000.0,1281000.0,1497000.0,1711000.0
Sao Tome and Principe,STP,AF,10600.0003814697,15800.0001907349,12300.0001907349,11800.0001907349,14500.0,15199.9998092651,8000.0,12199.9998092651,,,,25600.0003814697,28899.9996185303,28899.9996185303,33400.0015258789
Suriname,SUR,SA,,,154000.0,167000.0,151000.0,151000.0,206000.0,221000.0,240000.0,250000.0,253000.0,229000.0,257000.0,279000.0,
Slovenia,SVN,EU,1499000.0,1555000.0,1617000.0,1751000.0,1958000.0,1824000.0,2049000.0,2236000.0,2377000.0,2502000.0,2675000.0,3022000.0,3397000.0,3991000.0,4425000.0
Sweden,SWE,EU,4676000.0,4883000.0,4729000.0,5224000.0,4555000.0,4899000.0,5183000.0,11567000.0,12372000.0,10980000.0,10522000.0,6482000.0,6782000.0,7054000.0,7440000.0
Eswatini,SWZ,AF,,1182000.0,1200000.0,1230000.0,1186000.0,1344000.0,1343000.0,1328000.0,1278000.0,1299000.0,1325000.0,1256000.0,1279000.0,1343000.0,1277000.0
Sint Maarten (Dutch part),SXM,SA,1823000.0,1956000.0,1890000.0,1891000.0,1821000.0,1655000.0,1956000.0,2080000.0,2210000.0,2253000.0,2502000.0,2407000.0,2197000.0,1640000.0,1775000.0
Seychelles,SYC,AF,126000.0,135000.0,151000.0,171000.0,173000.0,178000.0,191000.0,210000.0,216000.0,237000.0,239000.0,296000.0,333000.0,382000.0,405000.0
Syrian Arab Republic,SYR,AS,6334000.0,5859000.0,5682000.0,5434000.0,6951000.0,7721000.0,10970000.0,6476000.0,,,,,1043000.0,1291000.0,1802000.0
Turks and Caicos Islands,TCA,SA,,,,,757000.0,865000.0,899000.0,1010000.0,968000.0,1069000.0,1330000.0,1316000.0,1296000.0,1243000.0,1463000.0
Chad,TCD,AF,26000.0,29000.0,46000.0,77000.0,61000.0,70000.0,71000.0,77000.0,86000.0,97000.0,119000.0,120000.0,98000.0,87000.0,63000.0
Togo,TGO,AF,83000.0,81000.0,94000.0,86000.0,74000.0,150000.0,202000.0,300000.0,235000.0,327000.0,282000.0,273000.0,338000.0,514000.0,573000.0
Thailand,THA,AS,11737000.0,11567000.0,13822000.0,14464000.0,14584000.0,14150000.0,15936000.0,19230000.0,22354000.0,26547000.0,24810000.0,29923000.0,32530000.0,35592000.0,38178000.0
Tajikistan,TJK,AS,,,,,325000.0,207000.0,160000.0,183000.0,244000.0,208000.0,213000.0,414000.0,344000.0,431000.0,1035000.0
Timor-Leste,TLS,OC,,,14000.0,22000.0,36000.0,44000.0,40000.0,51000.0,58000.0,79000.0,60000.0,61599.9984741211,65599.9984741211,73900.0015258789,74599.9984741211
Tonga,TON,OC,51000.0,60000.0,54000.0,65000.0,65000.0,74699.9969482422,65000.0,68400.0015258789,57200.0007629395,59700.0007629395,65800.0030517578,72599.9984741211,86699.9969482422,86599.9984741211,77300.0030517578
Trinidad and Tobago,TTO,SA,501000.0,529000.0,534000.0,531000.0,482000.0,534000.0,490000.0,491000.0,504000.0,467000.0,455000.0,519000.0,492000.0,465000.0,501000.0
Tunisia,TUN,AF,5998000.0,6378000.0,6550000.0,6762000.0,7050000.0,7797000.0,7828000.0,5746000.0,6999000.0,7352000.0,7163000.0,5359000.0,5724000.0,7052000.0,8299000.0
Turkiye,TUR,AS,17517000.0,21125000.0,19820000.0,27215000.0,31138000.0,31760000.0,32997000.0,36769000.0,37715000.0,39861000.0,41627000.0,41114000.0,30907000.0,37970000.0,46113000.0
Tuvalu,TUV,OC,1299.99995231628,1100.00002384186,1100.00002384186,1100.00002384186,1700.00004768372,1600.00002384186,1700.00004768372,1200.00004768372,1100.00002384186,1299.99995231628,1399.99997615814,2400.00009536743,2500.0,2500.0,3200.00004768372
Tanzania,TZA,AF,583000.0,613000.0,644000.0,719000.0,770000.0,714000.0,783000.0,868000.0,1077000.0,1096000.0,1140000.0,1137000.0,1284000.0,1327000.0,1506000.0
Uganda,UGA,AF,512000.0,468000.0,539000.0,642000.0,844000.0,807000.0,946000.0,1151000.0,1197000.0,1206000.0,1266000.0,1303000.0,1323000.0,1402000.0,1506000.0
Ukraine,UKR,EU,18583000.0,20489000.0,21714000.0,26162000.0,28827000.0,24033000.0,24114000.0,24535000.0,25061000.0,26025000.0,13227000.0,13025000.0,13734000.0,14579000.0,14342000.0
Uruguay,URY,SA,1871000.0,1917000.0,1824000.0,1815000.0,2255000.0,2303000.0,2708000.0,3244000.0,3155000.0,3242000.0,3195000.0,3286000.0,3632000.0,4219000.0,3954000.0
United States,USA,SA,67606000.0,71484000.0,183178000.0,175299000.0,175703000.0,160508000.0,162275000.0,147271421.875,171629890.625,179309906.25,178311359.375,176864531.25,175261484.375,174291750.0,169324921.875
Uzbekistan,UZB,AS,262000.0,242000.0,560000.0,903000.0,1069000.0,1215000.0,975000.0,1393000.0,1895000.0,1969000.0,1862000.0,1918000.0,2027000.0,2690000.0,5346000.0
St. Vincent and the Grenadines,VCT,SA,262000.0,256000.0,306000.0,328000.0,250000.0,271000.0,231000.0,208000.0,200000.0,200000.0,205000.0,207000.0,227000.0,303000.0,356000.0
"Venezuela, RB",VEN,SA,618000.0,846000.0,883000.0,898000.0,702000.0,567000.0,535000.0,625000.0,1061000.0,1085000.0,967000.0,882000.0,681000.0,429000.0,
British Virgin Islands,VGB,SA,304000.0,337000.0,356000.0,358000.0,346000.0,309000.0,330000.0,338000.0,351000.0,366000.0,386000.0,393000.0,408000.0,335000.0,192000.0
Virgin Islands (U.S.),VIR,SA,2620000.0,2602000.0,2571000.0,2606000.0,2435000.0,2245000.0,2531000.0,2686000.0,2640000.0,2702000.0,2814000.0,2643000.0,2574000.0,1954000.0,1922000.0
Viet Nam,VNM,AS,2928000.0,3477000.0,3583000.0,4229000.0,4236000.0,3747000.0,5050000.0,6014000.0,6848000.0,7572000.0,7874000.0,7944000.0,10013000.0,12922000.0,15498000.0
Vanuatu,VUT,OC,99000.0,126000.0,154000.0,167000.0,196600.006103516,225500.0,237699.996948242,248899.993896484,321000.0,357000.0,329000.0,287000.0,351600.006103516,332700.012207031,350200.012207031
Samoa,WSM,OC,,,116000.0,122000.0,122000.0,129000.0,130000.0,128000.0,135000.0,125000.0,132000.0,139000.0,146000.0,158000.0,172000.0
South Africa,ZAF,AF,6815000.0,7518000.0,8509000.0,9208000.0,9729000.0,9532000.0,11303000.0,12097000.0,13069000.0,14318000.0,14530000.0,13952000.0,15121000.0,14975000.0,15004000.0
Zambia,ZMB,AF,515000.0,669000.0,757000.0,897000.0,812000.0,710000.0,815000.0,920000.0,859000.0,915000.0,947000.0,932000.0,956000.0,1009000.0,1072000.0
Zimbabwe,ZWE,AF,1854000.0,1559000.0,2287000.0,2506000.0,1956000.0,2017000.0,2239000.0,2423000.0,1794000.0,1833000.0,1880000.0,2057000.0,2168000.0,2423000.0,2580000.0
