Sigla,País,Ano,Valor Bruto,Pontuação Final,Rank,Continente
DNK,Denmark,2019,5.123725381733117,5.123725381733117,5.0,EU
DNK,Denmark,2021,5.167833311248536,5.167833311248536,6.0,EU
DNK,Denmark,2024,5.161940292146606,5.161940292146606,5.0,EU
DOM,Dominican Republic,2019,4.1691375158259385,4.1691375158259385,48.0,SA
DOM,Dominican Republic,2021,4.202177163403031,4.202177163403031,46.0,SA
DOM,Dominican Republic,2024,4.198179243132946,4.198179243132946,49.0,SA
DZA,Algeria,2019,2.46745011752515,2.46745011752515,112.0,AF
DZA,Algeria,2021,2.480665976555988,2.480665976555988,111.0,AF
DZA,Algeria,2024,2.4940990691197307,2.4940990691197307,114.0,AF
ECU,Ecuador,2019,3.7727811162896496,3.7727811162896496,71.0,SA
ECU,Ecuador,2021,3.7868436162896497,3.7868436162896497,70.0,SA
ECU,Ecuador,2024,3.6518679200366257,3.6518679200366257,79.0,SA
EGY,"Egypt, Arab Rep.",2019,2.9699655585882083,2.9699655585882083,98.0,AF
EGY,"Egypt, Arab Rep.",2021,2.983181417619045,2.983181417619045,98.0,AF
EGY,"Egypt, Arab Rep.",2024,3.0859369617110204,3.0859369617110204,101.0,AF
ESP,Spain,2019,4.959707058332899,4.959707058332899,9.0,EU
ESP,Spain,2021,5.0170308468791545,5.0170308468791545,10.0,EU
ESP,Spain,2024,5.011230914720552,5.011230914720552,9.0,EU
EST,Estonia,2019,4.079288899703683,4.079288899703683,55.0,EU
EST,Estonia,2021,4.146910045078132,4.146910045078132,52.0,EU
EST,Estonia,2024,4.147846811121081,4.147846811121081,54.0,EU
FIN,Finland,2019,4.670885565736122,4.670885565736122,25.0,EU
FIN,Finland,2021,4.714993495251541,4.714993495251541,27.0,EU
FIN,Finland,2024,4.709113082392063,4.709113082392063,30.0,EU
FRA,France,2019,4.69685461972694,4.69685461972694,24.0,EU
FRA,France,2021,4.740962549242358,4.740962549242358,25.0,EU
FRA,France,2024,4.748580053998959,4.748580053998959,24.0,EU
GBR,United Kingdom,2019,4.915322556512679,4.915322556512679,10.0,EU
GBR,United Kingdom,2021,4.921930486028098,4.921930486028098,12.0,EU
GBR,United Kingdom,2024,4.957834247227241,4.957834247227241,11.0,EU
GEO,Georgia,2019,4.452847804947135,4.452847804947135,36.0,AS
GEO,Georgia,2021,4.496955734462553,4.496955734462553,36.0,AS
GEO,Georgia,2024,4.5047482738262525,4.5047482738262525,40.0,AS
GHA,Ghana,2019,3.0224506281058203,3.0224506281058203,96.0,AF
GHA,Ghana,2021,3.013640055418596,3.013640055418596,96.0,AF
GHA,Ghana,2024,2.213989509075347,2.213989509075347,116.0,AF
GRC,Greece,2019,4.760519074128597,4.760519074128597,17.0,EU
GRC,Greece,2021,4.804627003644016,4.804627003644016,18.0,EU
GRC,Greece,2024,4.798807108753596,4.798807108753596,20.0,EU
GTM,Guatemala,2019,3.822650187711785,3.822650187711785,70.0,SA
GTM,Guatemala,2021,3.822650187711785,3.822650187711785,69.0,SA
GTM,Guatemala,2024,3.824753282650217,3.824753282650217,70.0,SA
HND,Honduras,2019,2.797009016872192,2.797009016872192,104.0,SA
HND,Honduras,2021,2.7793878714977427,2.7793878714977427,104.0,SA
HND,Honduras,2024,2.806576608742809,2.806576608742809,110.0,SA
HRV,Croatia,2019,4.6204355121507845,4.6204355121507845,32.0,EU
HRV,Croatia,2021,4.684367230212459,4.684367230212459,30.0,EU
HRV,Croatia,2024,4.698329248292256,4.698329248292256,31.0,EU
HUN,Hungary,2019,4.648293855913945,4.648293855913945,30.0,EU
HUN,Hungary,2021,4.705617644460201,4.705617644460201,29.0,EU
HUN,Hungary,2024,4.712997707165205,4.712997707165205,28.0,EU
IDN,Indonesia,2019,4.17617392154572,4.17617392154572,47.0,AS
IDN,Indonesia,2021,4.309344351061139,4.309344351061139,42.0,AS
IDN,Indonesia,2024,3.830092830253785,3.830092830253785,69.0,AS
IND,India,2019,4.184824178789317,4.184824178789317,44.0,AS
IND,India,2021,4.1782162492738975,4.1782162492738975,50.0,AS
IND,India,2024,4.132413047179757,4.132413047179757,56.0,AS
IRL,Ireland,2019,4.602795031169517,4.602795031169517,35.0,EU
IRL,Ireland,2021,4.660118819715772,4.660118819715772,34.0,EU
IRL,Ireland,2024,4.671500081042672,4.671500081042672,33.0,EU
IRN,"Iran, Islamic Rep.",2019,2.7994111552376046,2.7994111552376046,103.0,AS
IRN,"Iran, Islamic Rep.",2021,2.808221727924829,2.808221727924829,103.0,AS
IRN,"Iran, Islamic Rep.",2024,3.077865048051907,3.077865048051907,102.0,AS
ISL,Iceland,2019,4.627954719432537,4.627954719432537,31.0,EU
ISL,Iceland,2021,4.665454719432537,4.665454719432537,33.0,EU
ISL,Iceland,2024,4.666149382136181,4.666149382136181,35.0,EU
