Data Source,World Development Indicators,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last Updated Date,2026-02-24,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Continent,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Special Notes
Aruba,ABW,NA,22.5474119747263,19.1648620308123,17.6577101160954,18.1705976065285,19.1510508989618,35.0418580826918,68.7260034904014,19.7926946439331,44.8110916086025,69.7663763153056,70.7107411669125,67.9234396063441,74.9428170432698,80.454125022755,79.5928693683858,
Angola,AGO,AF,0.59429894432281,0.4241085211113,0.272892458912399,0.527882654597269,0.456078040771251,1.33651307818098,1.41103125777036,0.959693701971326,0.989241065215912,1.78401431973214,2.62443332071088,3.40038336206843,2.21909952571216,2.48328311495864,1.3457717330498,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Albania,ALB,EU,60.4888210221976,60.2421079564304,56.5371142509191,60.0147492308715,56.3585203050781,65.7578453770332,53.4846023581548,48.5388972310885,45.6466576233755,45.1322983249897,49.5414964279063,51.9644431232024,52.9379204273763,49.4715628231148,48.1951679829471,
Argentina,ARG,SA,6.69060360060115,6.84335415200094,7.19990264416667,7.60711607793083,6.46330713288746,6.71585037667957,6.90925985183367,6.20590596025122,6.0054644491997,5.80192954889544,6.89787414276744,7.77035222074166,7.65710936693155,7.86052484120101,7.7764503654143,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Armenia,ARM,AS,16.9146934222981,16.6569781309193,24.655270385469,26.5183312868915,29.0179002373583,36.5548516183226,31.3931551143139,27.7878881740559,29.2386499751569,28.6822831302615,29.9546872762266,30.4681876250111,29.0923324403997,27.7525101092655,27.5622585097933,
Australia,AUS,OC,15.6933971554238,14.3464235453513,12.7421767563573,13.4179065997681,11.4237554459534,13.4685129534239,11.6658934570685,10.3846746843445,10.7509289786024,10.5118033628256,11.8867749890493,14.8823671055696,15.57172006122,14.8261635650799,14.4577634132987,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Austria,AUT,EU,,11.6184902947672,,,,,,,,,,10.0958285161504,10.133169967177,9.95494757378325,10.0859157962054,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Azerbaijan,AZE,AS,1.91595505508977,1.22857307134914,1.4656149238974,1.41801358573319,1.19790046306379,2.3946291762937,2.80505157204192,4.04980165286445,7.17987469673957,7.2900283188919,8.33312369983075,12.6559919656668,16.241153193554,16.1991901614566,11.1018339663989,
Belgium,BEL,EU,3.8582661303681,3.81544361542398,3.77996495643298,3.41959992027006,,3.80601641373667,3.43357260990302,3.2910882065382,3.3646892463458,3.40767678417567,3.49449225220814,2.4952425210701,2.3241731871261,2.30439193938753,2.28597339362071,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Benin,BEN,AF,15.3895729935752,13.9474275873583,12.7547007109677,15.280595361192,14.4426737722998,9.05382977214961,9.00210916624923,12.0783037575846,9.27281682918582,7.72936294099513,5.02321951988219,5.40838376981856,4.04427546732546,4.8275238205298,4.54826692932521,
Burkina Faso,BFA,AF,,8.43405095850514,8.2300972626601,8.2260092319516,8.30093341175065,9.36385408315392,5.55280133957618,4.1160184160377,3.8919152288174,6.32941906098938,5.69696647786706,5.51739119796339,5.25608554021083,4.60981968500959,3.96777779610206,
Bangladesh,BGD,AS,0.833568741419302,0.777142605494873,,,,0.451680313857432,0.475652503421882,0.359391213996616,0.380558123033202,0.414095692456031,0.465858683713146,0.429806120691128,0.568998349622867,0.888425160359537,0.809009437610101,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Bulgaria,BGR,EU,20.0554665428952,18.956278381681,16.2671910414176,15.898520605305,15.9363064687592,18.3667072497138,15.0451175688797,12.6266818801973,12.1693048801209,12.2567548337751,12.107981325087,11.0135286135671,12.0416382898551,11.700003186576,11.6359780486734,
Bahrain,BHR,AS,14.5500581370337,11.96543166416,11.4031998429903,10.70787379804,9.07618689715646,11.926299745978,12.0970995091477,7.69632694692678,5.57801148198955,5.49806203061759,5.96523469895505,11.0201855787673,16.9076167790564,16.3875179111607,12.7974717255828,
"Bahamas, The",BHS,NA,69.7031827568215,68.0057228735344,65.8041419025232,64.6239816329506,61.7523353442159,66.1432476563242,67.5530223954383,64.830318588268,63.4761774966965,63.5659709984739,65.6410997354634,74.7650126305565,79.6401910996498,78.4280042032138,79.0423234348995,
Bosnia and Herzegovina,BIH,EU,17.1851783750322,15.7155037651778,14.5537224660284,18.751796334078,17.6654567203615,16.9954313300686,12.9945518614038,12.0721598412807,12.3245551101037,12.2606020299194,11.9707255671719,13.7868281061514,14.2284218174096,13.2388219642828,13.3489974548187,
Belarus,BLR,EU,2.41705559895573,1.97305018732572,1.85912384732003,1.78246486237064,1.61406916493304,2.31293187737764,2.26659986161811,1.60368912904867,1.89840272322598,2.62063180803192,2.83569564455593,3.0833290213398,3.39851319216774,3.07279056930652,2.88872380393586,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
Belize,BLZ,NA,,,,,,,,,,,,,,,,
